,漲跌幅,AI,CHATGPT,輝達,台積電,成交股數,成交筆數,大戶與散戶比例,TW_Close,TW_Volume,NASDAQ_Close,NASDAQ_Volume,DOW_Close,DOW_Volume,SP_Close,SP_Volume,外資自營商買賣超股數,投信買賣超股數,自營商買賣超股數,淨值(元)
0,-0.0083,34.857142857142854,24.571428571428573,6.0,21.714285714285715,34512,837,41.23297491039426,16557.310546875,2669600,13307.76953125,4554700000.0,33433.3515625,275630000.0,4288.39013671875,3938660000.0,0,0,"-11,165",28.49
1,-0.0203,33.714285714285715,24.142857142857142,6.0,21.428571428571427,31862,965,33.01761658031088,16454.33984375,2697100,13059.4697265625,4684310000.0,33002.37890625,293450000.0,4229.4501953125,3953830000.0,0,0,"-14,138",27.94
2,0.0032,32.57142857142857,23.714285714285715,6.0,21.142857142857142,249091,90,2767.677777777778,16273.3798828125,2624800,13236.009765625,4308070000.0,33129.55078125,287030000.0,4263.75,3777600000.0,0,0,"-63,000",28.02
3,-0.0075,31.42857142857143,23.285714285714285,6.0,20.857142857142858,428305,637,672.3783359497645,16453.51953125,2503200,13219.830078125,4167470000.0,33119.5703125,277250000.0,4258.18994140625,3581470000.0,0,0,"-271,452",27.81
4,0.0241,30.285714285714285,22.857142857142858,6.0,20.571428571428573,118427,450,263.1711111111111,16520.5703125,2296800,13431.33984375,4309420000.0,33407.578125,332990000.0,4308.5,3902030000.0,0,0,"-44,029",28.17
5,0.0021,28.857142857142858,25.428571428571427,6.428571428571429,26.42857142857143,85380,923,92.50270855904658,16672.029296875,3635100,13659.6796875,4160440000.0,33804.87109375,256560000.0,4376.9501953125,3601660000.0,0,0,"5,957",28.37
6,-0.011200000000000002,29.142857142857142,26.57142857142857,6.571428571428571,28.57142857142857,21160,617,34.294975688816855,16825.91015625,2917100,13574.2197265625,4858620000.0,33631.140625,289160000.0,4349.60986328125,3713140000.0,0,0,"12,000",28.21
7,-0.0106,29.428571428571427,27.714285714285715,6.714285714285714,30.714285714285715,79035,201,393.2089552238806,16782.5703125,2955800,13407.23046875,4251550000.0,33670.2890625,306340000.0,4327.77978515625,3566560000.0,0,0,"-41,163",27.81
8,0.0018,29.571428571428573,30.714285714285715,6.857142857142857,33.57142857142857,236519,706,335.0127478753541,16652.240234375,2843500,13567.98046875,4308690000.0,33984.5390625,270060000.0,4373.6298828125,3409960000.0,0,0,"-24,678",28.04
9,0.0043,29.142857142857142,31.428571428571427,6.714285714285714,32.142857142857146,64866,763,85.01441677588467,16642.55078125,2965400,13533.75,4417640000.0,33997.6484375,281010000.0,4373.2001953125,3794850000.0,0,0,"42,094",28.19
10,-0.0189,28.714285714285715,32.142857142857146,6.571428571428571,30.714285714285715,123602,321,385.0529595015576,16440.91015625,3844900,13314.2998046875,4617140000.0,33665.078125,285410000.0,4314.60009765625,3686030000.0,0,0,"14,926",27.64
11,-0.0098,28.285714285714285,32.857142857142854,6.428571428571429,29.285714285714285,151007,325,464.6369230769231,16452.73046875,2608200,13186.1796875,5014790000.0,33414.171875,304320000.0,4278.0,3969730000.0,0,0,"-43,987",27.33
12,-0.0125,27.857142857142858,33.57142857142857,6.285714285714286,27.857142857142858,103398,466,221.88412017167383,16440.720703125,3035200,12983.8095703125,4622840000.0,33127.28125,325530000.0,4224.16015625,4004030000.0,0,0,"38,120",26.93
13,-0.0048,27.428571428571427,34.857142857142854,6.0,24.857142857142858,144373,471,306.5244161358811,16251.3603515625,2273100,13018.330078125,4669060000.0,32936.41015625,342500000.0,4217.0400390625,3776100000.0,0,0,"-57,495",26.8
